ID,Категория культуры,Культура,№,Показатель зерна,Тип поля,Единица измерения,"Примечание
к ед.изм.",Минимальное значение,Редакт. min-знач,Максимальное значение,Редакт max-знач,ГОСТ
37,,"Пшеница 5 класс. Протеин 10,0%",6,Число падения,Числовое,c,Секунды,190,Да,Нет,Нет,ГОСТ 27676 - 88
38,,"Пшеница 5 класс. Протеин 10,0%",7,Количество клейковины ,Числовое,%,Проценты,12,Да,Нет,Нет,ГОСТ Р 54478-2011
39,,"Пшеница 5 класс. Протеин 10,0%",8,ИДК,Числовое,ед.,Единицы,43,Да,102,Да,ГОСТ Р 54478-2011
40,,"Пшеница 5 класс. Протеин 10,0%",9,Повреждение клопом черепашкой,Числовое,%,Проценты,нет,нет,2,Да,ГОСТ 30483-97
41,,"Пшеница 5 класс. Протеин 10,0%",10,Альвеографические характеристики теста,Числовое,дж.,Джоули,130,Да,Нет,Нет,ISO 27971:2015
42,,"Пшеница 5 класс. Протеин 10,0%",11,Вомитоксин ,Текстовое,Согласно пределам ЕС,,,,,,ТР ТС 015/2011
43,,"Пшеница 5 класс. Протеин 10,0%",12,Зараженность,Текстовое,Не допускается,,,,,,ГОСТ 30483-97
44,,"Пшеница 5 класс. Протеин 10,0%",13,Запах,Текстовое,Свойственный здоровому зерну без запаха фумигантов и других инородных запахов,,,,,,
45,,"Пшеница 5 класс. Протеин 10,0%",14,Остальные показатели,Текстовое,Остальные показатели качества должны соответствовать ГОСТ  9353-2016,,,,,,
46,Пшеница,"Пшеница 5 класс. Протеин 10,5%",1,Натура,Числовое,г/л,Грамм на Литр,750,да,нет,нет,ГОСТ 10840 - 64
47,,"Пшеница 5 класс. Протеин 10,5%",2,Влажность,Числовое,%,Проценты,Нет,Нет,14,Да,ГОСТ 13586.5-2015
48,,"Пшеница 5 класс. Протеин 10,5%",3,Сорная примечь,Числовое,%,Проценты,Нет,Нет,2,Да,ГОСТ 30483-97
49,,"Пшеница 5 класс. Протеин 10,5%",4,Зерновая примесь,Числовое,%,Проценты,Нет,Нет,5,Да,ГОСТ 30483-97
50,,"Пшеница 5 класс. Протеин 10,5%",5,Протеин,Числовое,%,Проценты,"10,5",Да,Нет,Нет,ГОСТ 10846-91
51,,"Пшеница 5 класс. Протеин 10,5%",6,Число падения,Числовое,c,Секунды,190,Да,Нет,Нет,ГОСТ 27676 - 88
52,,"Пшеница 5 класс. Протеин 10,5%",7,Количество клейковины ,Числовое,%,Проценты,14,Да,Нет,Нет,ГОСТ Р 54478-2011
53,,"Пшеница 5 класс. Протеин 10,5%",8,ИДК,Числовое,ед.,Единицы,43,Да,102,Да,ГОСТ Р 54478-2011
54,,"Пшеница 5 класс. Протеин 10,5%",9,Повреждение клопом черепашкой,Числовое,%,Проценты,нет,нет,2,Да,ГОСТ 30483-97
55,,"Пшеница 5 класс. Протеин 10,5%",10,Альвеографические характеристики теста,Числовое,дж.,Джоули,130,Да,Нет,Нет,ISO 27971:2015
56,,"Пшеница 5 класс. Протеин 10,5%",11,Вомитоксин ,Текстовое,Согласно пределам ЕС,,,,,,ТР ТС 015/2011
57,,"Пшеница 5 класс. Протеин 10,5%",12,Зараженность,Текстовое,Не допускается,,,,,,ГОСТ 30483-97
58,,"Пшеница 5 класс. Протеин 10,5%",13,Запах,Текстовое,Свойственный здоровому зерну без запаха фумигантов и других инородных запахов,,,,,,
59,,"Пшеница 5 класс. Протеин 10,5%",14,Остальные показатели,Текстовое,Остальные показатели качества должны соответствовать ГОСТ  9353-2016,,,,,,
60,Пшеница,"Пшеница 5 класс. Протеин 11,0%",1,Натура,Числовое,г/л,Грамм на Литр,750,да,нет,нет,ГОСТ 10840 - 64
61,,"Пшеница 5 класс. Протеин 11,0%",2,Влажность,Числовое,%,Проценты,Нет,Нет,14,Да,ГОСТ 13586.5-2015
62,,"Пшеница 5 класс. Протеин 11,0%",3,Сорная примечь,Числовое,%,Проценты,Нет,Нет,2,Да,ГОСТ 30483-97
63,,"Пшеница 5 класс. Протеин 11,0%",4,Зерновая примесь,Числовое,%,Проценты,Нет,Нет,5,Да,ГОСТ 30483-97
64,,"Пшеница 5 класс. Протеин 11,0%",5,Протеин,Числовое,%,Проценты,11,Да,Нет,Нет,ГОСТ 10846-91
65,,"Пшеница 5 класс. Протеин 11,0%",6,Число падения,Числовое,c,Секунды,190,Да,Нет,Нет,ГОСТ 27676 - 88
66,,"Пшеница 5 класс. Протеин 11,0%",7,Количество клейковины ,Числовое,%,Проценты,16,Да,Нет,Нет,ГОСТ Р 54478-2011
67,,"Пшеница 5 класс. Протеин 11,0%",8,ИДК,Числовое,ед.,Единицы,43,Да,102,Да,ГОСТ Р 54478-2011
68,,"Пшеница 5 класс. Протеин 11,0%",9,Повреждение клопом черепашкой,Числовое,%,Проценты,нет,нет,2,Да,ГОСТ 30483-97
69,,"Пшеница 5 класс. Протеин 11,0%",10,Альвеографические характеристики теста,Числовое,дж.,Джоули,160,Да,Нет,Нет,ISO 27971:2015
70,,"Пшеница 5 класс. Протеин 11,0%",11,Вомитоксин ,Текстовое,Согласно пределам ЕС,,,,,,ТР ТС 015/2011
71,,"Пшеница 5 класс. Протеин 11,0%",12,Зараженность,Текстовое,Не допускается,,,,,,ГОСТ 30483-97
72,,"Пшеница 5 класс. Протеин 11,0%",13,Запах,Текстовое,Свойственный здоровому зерну без запаха фумигантов и других инородных запахов,,,,,,
73,,"Пшеница 5 класс. Протеин 11,0%",14,Остальные показатели,Текстовое,Остальные показатели качества должны соответствовать ГОСТ  9353-2016,,,,,,
